Name,Location,Year,Kms_Driven,Price,Car_Age,Price_per_KM
Mercedes-Benz SLK-Class 55 AMG,Bangalore,2014,3000,90.0,11,3000.0
Lamborghini Gallardo Coupe,Delhi,2011,6500,120.0,14,1846.1538461538462
BMW 6 Series 630i Coupe,Mumbai,2011,5900,47.5,14,805.0847457627119
Audi TT 40 TFSI,Kolkata,2012,7000,35.0,13,500.0
Ford Freestyle Titanium Petrol,Mumbai,2007,1261,6.0,18,475.8128469468676
Porsche Panamera Diesel,Bangalore,2013,19828,75.0,12,378.25297559007464
Mercedes-Benz A Class A180 CDI,Bangalore,2014,8000,19.75,11,246.875
Audi TT 2.0 TFSI,Delhi,2013,12100,29.5,12,243.80165289256198
Mini Cooper Convertible S,Mumbai,2014,11900,28.5,11,239.49579831932772
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2014,19000,44.0,11,231.57894736842104
BMW 6 Series Gran Coupe,Delhi,2013,21000,44.0,12,209.52380952380952
Audi Q5 2008-2012 2.0 TDI,Kochi,2013,12467,25.64,12,205.66295018849763
Jaguar XF Aero Sport Edition,Delhi,2012,16000,32.0,13,200.0
Porsche Panamera 2010 2013 Diesel,Delhi,2013,36400,72.0,12,197.8021978021978
Audi TT 2.0 TFSI,Kochi,2014,14262,27.35,11,191.76833543682514
Audi Q5 2008-2012 2.0 TDI,Kochi,2013,13452,25.46,12,189.26553672316385
Audi Q5 2008-2012 3.0 TDI,Chennai,2014,25000,44.0,11,176.0
Audi RS5 Coupe,Mumbai,2013,23312,40.5,12,173.7302676733013
BMW 6 Series 640d Gran Coupe,Mumbai,2011,30000,49.0,14,163.33333333333334
Audi RS5 Coupe,Mumbai,2013,23000,37.0,12,160.8695652173913
BMW 6 Series 640d Coupe,Mumbai,2013,30000,45.0,12,150.0
BMW 6 Series Gran Coupe,Mumbai,2013,30000,45.0,12,150.0
BMW 7 Series 730Ld,Chennai,2014,35000,52.0,11,148.57142857142858
Jaguar XF 2.2 Litre Luxury,Kolkata,2014,18000,25.7,11,142.77777777777777
BMW 3 Series 320i Sedan,Kolkata,2011,7000,9.75,14,139.28571428571428
Land Rover Range Rover Sport SE,Delhi,2014,47000,64.75,11,137.7659574468085
Mercedes-Benz M-Class ML 350 4Matic,Bangalore,2014,33000,43.0,11,130.3030303030303
Mini Cooper Convertible S,Chennai,2012,17000,22.0,13,129.41176470588235
Bentley Continental Flying Spur,Hyderabad,2006,48000,59.0,19,122.91666666666667
Mini Cooper S Carbon Edition,Delhi,2012,18000,22.0,13,122.22222222222223
Land Rover Range Rover TDV8 (Diesel),Bangalore,2011,55000,67.0,14,121.81818181818181
BMW Z4 2009-2013 35i,Delhi,2011,25000,30.0,14,120.0
BMW 7 Series 730Ld,Chennai,2013,38000,45.0,12,118.42105263157895
Audi A4 2.0 TDI 177 Bhp Premium Plus,Bangalore,2014,21000,24.5,11,116.66666666666667
Jaguar XJ 5.0 L V8 Supercharged,Coimbatore,2011,43686,50.66,14,115.96392436936318
Mercedes-Benz E-Class Facelift,Bangalore,2014,28000,31.75,11,113.39285714285714
Audi A7 2011-2015 Sportback,Kolkata,2012,24720,28.0,13,113.26860841423948
BMW 3 Series 320d Luxury Line,Mumbai,2014,18600,21.0,11,112.90322580645162
Porsche Panamera Diesel,Hyderabad,2013,40000,45.0,12,112.5
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Hyderabad,2013,21000,23.5,12,111.9047619047619
Mercedes-Benz CLS-Class 2006-2010 350 CDI,Hyderabad,2010,29000,32.0,15,110.34482758620689
Hyundai Sonata Transform 2.4 GDi MT,Mumbai,2014,12000,12.75,11,106.25
Porsche Panamera Diesel,Delhi,2013,48000,50.5,12,105.20833333333333
Land Rover Range Rover 3.6 TDV8 Vogue SE Diesel,Bangalore,2012,66538,70.0,13,105.20304187081067
Mahindra Renault Logan 1.4 GLX Petrol,Pune,2008,2200,2.3,17,104.54545454545453
Audi A4 2.0 TDI 177 Bhp Technology Edition,Bangalore,2014,24000,25.0,11,104.16666666666667
Mercedes-Benz New C-Class 220,Chennai,2014,25000,26.0,11,104.0
Land Rover Range Rover Vogue SE 4.4 SDV8,Bangalore,2012,63000,65.0,13,103.17460317460318
Audi Q5 30 TDI quattro Premium Plus,Bangalore,2014,38000,39.0,11,102.63157894736842
BMW X6 xDrive30d,Coimbatore,2014,39626,40.66,11,102.60939787008529
Audi Q5 30 TDI quattro Premium Plus,Bangalore,2014,38000,38.95,11,102.50000000000001
Mini Cooper 3 DOOR S,Mumbai,2013,21000,21.5,12,102.38095238095238
Audi Q7 4.2 TDI Quattro Technology,Bangalore,2014,50000,51.0,11,102.0
Porsche Panamera 2010 2013 4S,Coimbatore,2010,42400,42.91,15,101.20283018867924
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Bangalore,2013,29000,29.0,12,100.0
BMW 3 Series 330 Ci Convertible,Delhi,2011,31000,31.0,14,100.0
Jaguar XF 3.0 Litre S Premium Luxury,Mumbai,2014,30900,29.5,11,95.46925566343042
BMW 5 Series 2013-2017 520d Luxury Line,Pune,2014,32000,30.5,11,95.3125
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Bangalore,2014,52000,49.0,11,94.23076923076923
BMW X6 xDrive30d,Jaipur,2013,45306,42.5,12,93.80655983754912
Porsche Cayenne Turbo S,Mumbai,2010,35000,32.0,15,91.42857142857143
Mercedes-Benz M-Class ML 250 CDI,Hyderabad,2014,50000,45.0,11,90.0
Jaguar XJ 3.0L Premium Luxury,Hyderabad,2012,50000,45.0,13,90.0
Audi A4 2.0 TDI 177 Bhp Technology Edition,Bangalore,2014,29000,26.0,11,89.65517241379311
Land Rover Range Rover Sport 2005 2012 HSE,Hyderabad,2010,45000,40.0,15,88.88888888888889
BMW X1 sDrive 20d Exclusive,Mumbai,2012,15200,13.5,13,88.8157894736842
Audi A4 2.0 TDI 177 Bhp Premium Plus,Bangalore,2014,29063,25.75,11,88.60062622578536
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2014,47000,41.5,11,88.29787234042553
Mercedes-Benz E-Class 2009-2013 E 200 CGI Elegance,Bangalore,2011,25000,22.0,14,88.0
Mercedes-Benz E-Class 2009-2013 E250 CDI Blue Efficiency,Delhi,2014,30000,26.0,11,86.66666666666667
Mercedes-Benz GLA Class 200 CDI,Hyderabad,2014,30000,26.0,11,86.66666666666667
