Name,Location,Year,Kilometers_Driven,Price,Car_Age
Honda Jazz V,Chennai,2011,46000,4.5,14
Maruti Ertiga VDI,Chennai,2012,87000,6.0,13
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,17.74,12
Nissan Micra Diesel XV,Jaipur,2013,86999,3.5,12
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,5.2,12
Tata Indica Vista Quadrajet LS,Chennai,2012,65932,1.95,13
Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,4.49,13
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,27.0,11
Land Rover Freelander 2 TD4 SE,Pune,2012,85000,17.5,13
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,15.0,11
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,6.34,11
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,28.0,11
BMW 3 Series 320d,Kochi,2014,32982,18.55,11
Hyundai i20 1.2 Magna,Kolkata,2010,45807,1.87,15
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,2.85,15
Honda City Corporate Edition,Mumbai,2012,51920,4.25,13
Nissan Micra Diesel XV,Hyderabad,2012,54000,4.25,13
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,2.75,12
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,4.0,18
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,7.75,12
Toyota Corolla Altis G,Delhi,2012,87615,6.75,13
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,12.5,12
Audi A6 2.7 TDI,Kolkata,2010,35000,11.5,15
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,6.98,11
Maruti Wagon R LXI BSIII,Jaipur,2009,83816,1.85,16
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,28.0,12
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,5.0,12
Maruti Alto LXi,Delhi,2008,90000,1.25,17
Tata Nano LX SE,Kochi,2014,19698,1.53,11
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,4.74,11
